dataset,variable,est,value,type,group
Total,hipcircumference,q75,102.800003051758,Continuous,NA
Total,hipcircumference,min,46.2000007629395,Continuous,NA
Total,hipcircumference,max,193.100006103516,Continuous,NA
Total,hipcircumference,freq,25391,Continuous,NA
Total,hipcircumference,missing,678,Continuous,NA
Total,weight,mean,65.04138308000381,Continuous,NA
Total,weight,sd,13.811870389062246,Continuous,NA
Total,weight,median,64.2,Continuous,NA
Total,weight,q25,55.5,Continuous,NA
Total,weight,q75,73.4000015258789,Continuous,NA
Total,weight,min,28.1000003814697,Continuous,NA
Total,weight,max,150.699996948242,Continuous,NA
Total,weight,freq,24655,Continuous,NA
Total,weight,missing,1414,Continuous,NA
Total,height,mean,158.08247087794427,Continuous,NA
Total,height,sd,9.24061430505962,Continuous,NA
Total,height,median,157.5,Continuous,NA
Total,height,q25,151,Continuous,NA
Total,height,q75,165,Continuous,NA
Total,height,min,126.199996948242,Continuous,NA
Total,height,max,196.399993896484,Continuous,NA
Total,height,freq,24963,Continuous,NA
Total,height,missing,1106,Continuous,NA
Total,sbp,mean,123.32145514351726,Continuous,NA
Total,sbp,sd,19.26494043008452,Continuous,NA
Total,sbp,median,121,Continuous,NA
Total,sbp,q25,110,Continuous,NA
Total,sbp,q75,133,Continuous,NA
Total,sbp,min,61,Continuous,NA
Total,sbp,max,230,Continuous,NA
Total,sbp,freq,25537,Continuous,NA
Total,sbp,missing,532,Continuous,NA
Total,dbp,mean,79.66562243019932,Continuous,NA
Total,dbp,sd,11.811873416852107,Continuous,NA
Total,dbp,median,79,Continuous,NA
Total,dbp,q25,72,Continuous,NA
Total,dbp,q75,87,Continuous,NA
Total,dbp,min,26,Continuous,NA
Total,dbp,max,149,Continuous,NA
Total,dbp,freq,25537,Continuous,NA
Total,dbp,missing,532,Continuous,NA
Total,bmi,mean,26.029780644006234,Continuous,NA
Total,bmi,sd,5.099959089847951,Continuous,NA
Total,bmi,median,25.70616501434225,Continuous,NA
Total,bmi,q25,22.50699214141685,Continuous,NA
Total,bmi,q75,29.048800595244202,Continuous,NA
Total,bmi,min,11.7726941223199,Continuous,NA
Total,bmi,max,57.1469907407407,Continuous,NA
Total,bmi,freq,24606,Continuous,NA
Total,bmi,missing,1463,Continuous,NA
Total,age,mean,44.53577045533009,Continuous,NA
Total,age,sd,13.062713743128143,Continuous,NA
Total,age,median,43,Continuous,NA
Total,age,q25,35,Continuous,NA
Total,age,q75,53,Continuous,NA
Total,age,min,20,Continuous,NA
Total,age,max,99,Continuous,NA
Total,age,freq,26069,Continuous,NA
Total,age,missing,0,Continuous,NA
Total,alcohol,mean,0.18503030768050333,Continuous,NA
Total,alcohol,sd,0.3883295999916725,Continuous,NA
Total,alcohol,median,0,Continuous,NA
Total,alcohol,q25,0,Continuous,NA
Total,alcohol,q75,0,Continuous,NA
Total,alcohol,min,0,Continuous,NA
Total,alcohol,max,1,Continuous,NA
Total,alcohol,freq,26066,Continuous,NA
Total,alcohol,missing,3,Continuous,NA
Total,eduyr,mean,8.674236611938008,Continuous,NA
Total,eduyr,sd,4.849203453390403,Continuous,NA
Total,eduyr,median,9,Continuous,NA
Total,eduyr,q25,5,Continuous,NA
Total,eduyr,q75,12,Continuous,NA
Total,eduyr,min,0,Continuous,NA
Total,eduyr,max,24,Continuous,NA
Total,eduyr,freq,26068,Continuous,NA
Total,eduyr,missing,1,Continuous,NA
Training,glucose,mean,111.21552739976015,Continuous,NA
Training,glucose,sd,45.21662607195409,Continuous,NA
Training,glucose,median,97.4,Continuous,NA
Training,glucose,q25,90,Continuous,NA
Training,glucose,q75,109.95,Continuous,NA
Training,glucose,min,49.8,Continuous,NA
Training,glucose,max,759.9,Continuous,NA
Training,glucose,freq,19179,Continuous,NA
Training,glucose,missing,5,Continuous,NA
Training,waistcircumference,mean,86.74198652652952,Continuous,NA
Training,waistcircumference,sd,12.80776172364284,Continuous,NA
Training,waistcircumference,median,87,Continuous,NA
Training,waistcircumference,q25,78.0999984741211,Continuous,NA
Training,waistcircumference,q75,95,Continuous,NA
Training,waistcircumference,min,33.5,Continuous,NA
Training,waistcircumference,max,190.399993896484,Continuous,NA
Training,waistcircumference,freq,18569,Continuous,NA
Training,waistcircumference,missing,615,Continuous,NA
Training,hipcircumference,mean,96.23113765510026,Continuous,NA
Training,hipcircumference,sd,10.827494939668691,Continuous,NA
Training,hipcircumference,median,95.3000030517578,Continuous,NA
Training,hipcircumference,q25,89,Continuous,NA
Training,hipcircumference,q75,102.300003051758,Continuous,NA
Training,hipcircumference,min,46.2000007629395,Continuous,NA
Training,hipcircumference,max,193.100006103516,Continuous,NA
Training,hipcircumference,freq,18563,Continuous,NA
Training,hipcircumference,missing,621,Continuous,NA
Training,weight,mean,64.51236187321184,Continuous,NA
Training,weight,sd,13.84787132101117,Continuous,NA
Training,weight,median,63.7000007629395,Continuous,NA
Training,weight,q25,54.9000015258789,Continuous,NA
Training,weight,q75,72.9000015258789,Continuous,NA
Training,weight,min,28.1000003814697,Continuous,NA
Training,weight,max,150.699996948242,Continuous,NA
Training,weight,freq,17829,Continuous,NA
Training,weight,missing,1355,Continuous,NA
Training,height,mean,158.0932265317143,Continuous,NA
Training,height,sd,9.218744355685505,Continuous,NA
Training,height,median,157.5,Continuous,NA
Training,height,q25,151,Continuous,NA
Training,height,q75,165,Continuous,NA
Training,height,min,126.199996948242,Continuous,NA
Training,height,max,196.399993896484,Continuous,NA
Training,height,freq,18097,Continuous,NA
Training,height,missing,1087,Continuous,NA
Training,sbp,mean,122.73208839424261,Continuous,NA
Training,sbp,sd,19.5995679360723,Continuous,NA
Training,sbp,median,120,Continuous,NA
Training,sbp,q25,109,Continuous,NA
Training,sbp,q75,133,Continuous,NA
Training,sbp,min,70,Continuous,NA
Training,sbp,max,230,Continuous,NA
Training,sbp,freq,18689,Continuous,NA
Training,sbp,missing,495,Continuous,NA
Training,dbp,mean,79.77072074482315,Continuous,NA
Training,dbp,sd,11.876015048523977,Continuous,NA
Training,dbp,median,79,Continuous,NA
Training,dbp,q25,72,Continuous,NA
Training,dbp,q75,87,Continuous,NA
Training,dbp,min,26,Continuous,NA
Training,dbp,max,149,Continuous,NA
Training,dbp,freq,18689,Continuous,NA
Training,dbp,missing,495,Continuous,NA
Training,bmi,mean,25.81104345605354,Continuous,NA
Training,bmi,sd,5.10389284862012,Continuous,NA
Training,bmi,median,25.4934217130709,Continuous,NA
Training,bmi,q25,22.2800929605225,Continuous,NA
Training,bmi,q75,28.8384421407529,Continuous,NA
Training,bmi,min,11.7726941223199,Continuous,NA
Training,bmi,max,56.1646133193802,Continuous,NA
Training,bmi,freq,17781,Continuous,NA
Training,bmi,missing,1403,Continuous,NA
Training,age,mean,43.55442035029191,Continuous,NA
Training,age,sd,13.175059460679325,Continuous,NA
Training,age,median,42,Continuous,NA
Training,age,q25,34,Continuous,NA
Training,age,q75,52,Continuous,NA
Training,age,min,20,Continuous,NA
Training,age,max,94,Continuous,NA
Training,age,freq,19184,Continuous,NA
Training,age,missing,0,Continuous,NA
Training,alcohol,mean,0.18432026688907424,Continuous,NA
Training,alcohol,sd,0.387755262477794,Continuous,NA
Training,alcohol,median,0,Continuous,NA
Training,alcohol,q25,0,Continuous,NA
Training,alcohol,q75,0,Continuous,NA
Training,alcohol,min,0,Continuous,NA
Training,alcohol,max,1,Continuous,NA
Training,alcohol,freq,19184,Continuous,NA
Training,alcohol,missing,0,Continuous,NA
Training,eduyr,mean,8.61929833706928,Continuous,NA
Training,eduyr,sd,4.860319479240912,Continuous,NA
Training,eduyr,median,9,Continuous,NA
Training,eduyr,q25,5,Continuous,NA
Training,eduyr,q75,12,Continuous,NA
Training,eduyr,min,0,Continuous,NA
Training,eduyr,max,24,Continuous,NA
Training,eduyr,freq,19183,Continuous,NA
Training,eduyr,missing,1,Continuous,NA
Test,smokecurr,proportion,18.564787914003485,Proportion,NA
Test,smokecurr,freq,6884,Proportion,NA
Test,smokecurr,missing,1,Proportion,NA
Test,alcohol,proportion,18.700959023539667,Proportion,NA
Test,alcohol,freq,6882,Proportion,NA
Test,alcohol,missing,3,Proportion,NA
Test,kitchen,proportion,82.6554328878559,Proportion,NA
Test,kitchen,freq,6884,Proportion,NA
Test,kitchen,missing,1,Proportion,NA
Test,fuel,proportion,198.72167344567114,Proportion,NA
Test,fuel,freq,6884,Proportion,NA
Test,fuel,missing,1,Proportion,NA
Test,water,proportion,332.84427658338177,Proportion,NA
Test,water,freq,6884,Proportion,NA
Test,water,missing,1,Proportion,NA
Test,toilet,proportion,281.7838466008135,Proportion,NA
Test,toilet,freq,6884,Proportion,NA
Test,toilet,missing,1,Proportion,NA
Test,tv,proportion,98.98300159814035,Proportion,NA
Test,tv,freq,6883,Proportion,NA
Test,tv,missing,2,Proportion,NA
Test,fridge,proportion,83.81519686183351,Proportion,NA
Test,fridge,freq,6883,Proportion,NA
Test,fridge,missing,2,Proportion,NA
Test,wmachine,proportion,67.13642307133517,Proportion,NA
Test,wmachine,freq,6883,Proportion,NA
Test,wmachine,missing,2,Proportion,NA
Test,mobile,proportion,97.74807496731076,Proportion,NA
Test,mobile,freq,6883,Proportion,NA
Test,mobile,missing,2,Proportion,NA
Test,computer,proportion,33.03791951184077,Proportion,NA
Test,computer,freq,6883,Proportion,NA
Test,computer,missing,2,Proportion,NA
Test,car,proportion,17.40520122039808,Proportion,NA
Test,car,freq,6883,Proportion,NA
Test,car,missing,2,Proportion,NA
Test,scooter,proportion,64.04184221996223,Proportion,NA
Test,scooter,freq,6883,Proportion,NA
Test,scooter,missing,2,Proportion,NA
Test,bicycle,proportion,21.502251925032688,Proportion,NA
Test,bicycle,freq,6883,Proportion,NA
Test,bicycle,missing,2,Proportion,NA
Total,smokecurr,proportion,45.55279943302622,Proportion,NA
Total,smokecurr,freq,11288,Proportion,NA
Total,smokecurr,missing,14781,Proportion,NA
Total,alcohol,proportion,18.503030768050333,Proportion,NA
Total,alcohol,freq,26066,Proportion,NA
Total,alcohol,missing,3,Proportion,NA
Total,kitchen,proportion,80.6767176890321,Proportion,NA
Total,kitchen,freq,26067,Proportion,NA
Total,kitchen,missing,2,Proportion,NA
Total,fuel,proportion,195.67268960754978,Proportion,NA
Total,fuel,freq,26067,Proportion,NA
Total,fuel,missing,2,Proportion,NA
Total,water,proportion,279.3186787892738,Proportion,NA
Total,water,freq,26067,Proportion,NA
Total,water,missing,2,Proportion,NA
Total,toilet,proportion,272.43919281823065,Proportion,NA
Total,toilet,freq,26066,Proportion,NA
Total,toilet,missing,3,Proportion,NA
Total,tv,proportion,97.64827744955113,Proportion,NA
Total,tv,freq,26066,Proportion,NA
Total,tv,missing,3,Proportion,NA
Total,fridge,proportion,73.56709890278523,Proportion,NA
Total,fridge,freq,26066,Proportion,NA
Total,fridge,missing,3,Proportion,NA
Total,wmachine,proportion,56.25719327860047,Proportion,NA
Total,wmachine,freq,26066,Proportion,NA
Total,wmachine,missing,3,Proportion,NA
Total,mobile,proportion,96.5318806107573,Proportion,NA
Total,mobile,freq,26066,Proportion,NA
Total,mobile,missing,3,Proportion,NA
Total,computer,proportion,28.661858359548837,Proportion,NA
Total,computer,freq,26066,Proportion,NA
Total,computer,missing,3,Proportion,NA
Total,car,proportion,15.944141793907773,Proportion,NA
Total,car,freq,26066,Proportion,NA
Total,car,missing,3,Proportion,NA
Total,scooter,proportion,55.73160438885905,Proportion,NA
Total,scooter,freq,26066,Proportion,NA
Total,scooter,missing,3,Proportion,NA
Total,bicycle,proportion,28.285889664697304,Proportion,NA
Total,bicycle,freq,26066,Proportion,NA
Total,bicycle,missing,3,Proportion,NA
Training,smokecurr,proportion,87.73841961852861,Proportion,NA
Training,smokecurr,freq,4404,Proportion,NA
Training,smokecurr,missing,14780,Proportion,NA
Training,alcohol,proportion,18.432026688907424,Proportion,NA
Training,alcohol,freq,19184,Proportion,NA
Training,alcohol,missing,0,Proportion,NA
Training,kitchen,proportion,79.96663712662253,Proportion,NA
Training,kitchen,freq,19183,Proportion,NA
Training,kitchen,missing,1,Proportion,NA
Training,fuel,proportion,194.57853307616116,Proportion,NA
Training,fuel,freq,19183,Proportion,NA
Training,fuel,missing,1,Proportion,NA
Training,water,proportion,260.11051451806287,Proportion,NA
Training,water,freq,19183,Proportion,NA
Training,water,missing,1,Proportion,NA
Training,toilet,proportion,269.0856010843499,Proportion,NA
Training,toilet,freq,19182,Proportion,NA
Training,toilet,missing,2,Proportion,NA
Training,tv,proportion,97.16936871188031,Proportion,NA
Training,tv,freq,19183,Proportion,NA
Training,tv,missing,1,Proportion,NA
Training,fridge,proportion,69.89000677683366,Proportion,NA
Training,fridge,freq,19183,Proportion,NA
Training,fridge,missing,1,Proportion,NA
Training,wmachine,proportion,52.353646457801176,Proportion,NA
Training,wmachine,freq,19183,Proportion,NA
Training,wmachine,missing,1,Proportion,NA
Training,mobile,proportion,96.09550122504301,Proportion,NA
Training,mobile,freq,19183,Proportion,NA
Training,mobile,missing,1,Proportion,NA
Training,computer,proportion,27.09169577229839,Proportion,NA
Training,computer,freq,19183,Proportion,NA
Training,computer,missing,1,Proportion,NA
Training,car,proportion,15.419903039149247,Proportion,NA
Training,car,freq,19183,Proportion,NA
Training,car,missing,1,Proportion,NA
Training,scooter,proportion,52.749830579158626,Proportion,NA
Training,scooter,freq,19183,Proportion,NA
Training,scooter,missing,1,Proportion,NA
Training,bicycle,proportion,30.71990825209821,Proportion,NA
Training,bicycle,freq,19183,Proportion,NA
Training,bicycle,missing,1,Proportion,NA
Test,sex,proportion,45.69353667392883,Grouped,1
Test,sex,freq,3146,Grouped,1
Test,sex,proportion,54.30646332607117,Grouped,2
Test,sex,freq,3739,Grouped,2
Total,sex,proportion,46.32705512294296,Grouped,1
Total,sex,freq,12077,Grouped,1
Total,sex,proportion,53.67294487705704,Grouped,2
Total,sex,freq,13992,Grouped,2
Training,sex,proportion,46.55442035029191,Grouped,1
Training,sex,freq,8931,Grouped,1
Training,sex,proportion,53.44557964970809,Grouped,2
Training,sex,freq,10253,Grouped,2
Test,religion,proportion,81.75744371822803,Grouped,Hindu
Test,religion,freq,5629,Grouped,Hindu
Test,religion,proportion,8.627450980392156,Grouped,Islam
Test,religion,freq,594,Grouped,Islam
Test,religion,proportion,9.615105301379812,Grouped,Other
Test,religion,freq,662,Grouped,Other
Total,religion,proportion,81.5336223100234,Grouped,Hindu
Total,religion,freq,21255,Grouped,Hindu
Total,religion,proportion,9.2331888449883,Grouped,Islam
Total,religion,freq,2407,Grouped,Islam
Total,religion,proportion,9.2331888449883,Grouped,Other
Total,religion,freq,2407,Grouped,Other
Training,religion,proportion,81.45329441201001,Grouped,Hindu
Training,religion,freq,15626,Grouped,Hindu
Training,religion,proportion,9.450583819849875,Grouped,Islam
Training,religion,freq,1813,Grouped,Islam
Training,religion,proportion,9.096121768140117,Grouped,Other
Training,religion,freq,1745,Grouped,Other
Test,carrs,proportion,100,Grouped,1
Test,carrs,freq,6885,Grouped,1
Total,carrs,proportion,65.26909355940005,Grouped,1
Total,carrs,freq,17015,Grouped,1
Total,carrs,proportion,34.730906440599945,Grouped,2
Total,carrs,freq,9054,Grouped,2
Training,carrs,proportion,52.80442035029191,Grouped,1
Training,carrs,freq,10130,Grouped,1
Training,carrs,proportion,47.19557964970809,Grouped,2
Training,carrs,freq,9054,Grouped,2
Test,fup,proportion,100,Grouped,4
Test,fup,freq,6885,Grouped,4
Total,fup,proportion,73.58932064904675,Grouped,0
Total,fup,freq,19184,Grouped,0
Total,fup,proportion,26.410679350953238,Grouped,4
Total,fup,freq,6885,Grouped,4
Training,fup,proportion,100,Grouped,0
Training,fup,freq,19184,Grouped,0
