carrs_fup,variable,est,value,type,group
CARRS1_Baseline,fpg,mean,110.96872402327514,Continuous,NA
CARRS1_Baseline,fpg,sd,44.37794981983842,Continuous,NA
CARRS1_Baseline,fpg,median,98,Continuous,NA
CARRS1_Baseline,fpg,q25,90,Continuous,NA
CARRS1_Baseline,fpg,q75,110,Continuous,NA
CARRS1_Baseline,fpg,min,50,Continuous,NA
CARRS1_Baseline,fpg,max,626,Continuous,NA
CARRS1_Baseline,fpg,freq,9624,Continuous,NA
CARRS1_Baseline,fpg,missing,4,Continuous,NA
CARRS1_Followup,waistcircumference,mean,89.18490405741908,Continuous,NA
CARRS1_Followup,waistcircumference,sd,12.08793678451537,Continuous,NA
CARRS1_Followup,waistcircumference,median,89,Continuous,NA
CARRS1_Followup,waistcircumference,q25,81.5,Continuous,NA
CARRS1_Followup,waistcircumference,q75,97,Continuous,NA
CARRS1_Followup,waistcircumference,min,38.2,Continuous,NA
CARRS1_Followup,waistcircumference,max,162,Continuous,NA
CARRS1_Followup,waistcircumference,freq,6827,Continuous,NA
CARRS1_Followup,waistcircumference,missing,43,Continuous,NA
CARRS1_Followup,hipcircumference,mean,97.3828065035887,Continuous,NA
CARRS1_Followup,hipcircumference,sd,10.649370863995424,Continuous,NA
CARRS1_Followup,hipcircumference,median,96.5,Continuous,NA
CARRS1_Followup,hipcircumference,q25,90,Continuous,NA
CARRS1_Followup,hipcircumference,q75,103.6,Continuous,NA
CARRS1_Followup,hipcircumference,min,47.9,Continuous,NA
CARRS1_Followup,hipcircumference,max,162.3,Continuous,NA
CARRS1_Followup,hipcircumference,freq,6827,Continuous,NA
CARRS1_Followup,hipcircumference,missing,43,Continuous,NA
CARRS1_Followup,weight,mean,66.42313553113553,Continuous,NA
CARRS1_Followup,weight,sd,13.622816768518234,Continuous,NA
CARRS1_Followup,weight,median,65.9,Continuous,NA
CARRS1_Followup,weight,q25,57.1,Continuous,NA
CARRS1_Followup,weight,q75,74.5,Continuous,NA
CARRS1_Followup,weight,min,29.4,Continuous,NA
CARRS1_Followup,weight,max,140.3,Continuous,NA
CARRS1_Followup,weight,freq,6825,Continuous,NA
CARRS1_Followup,weight,missing,45,Continuous,NA
CARRS1_Followup,height,mean,158.0503638974652,Continuous,NA
CARRS1_Followup,height,sd,9.299578460047869,Continuous,NA
CARRS1_Followup,height,median,157.4,Continuous,NA
CARRS1_Followup,height,q25,150.82500000000002,Continuous,NA
CARRS1_Followup,height,q75,165,Continuous,NA
CARRS1_Followup,height,min,127,Continuous,NA
CARRS1_Followup,height,max,190,Continuous,NA
CARRS1_Followup,height,freq,6870,Continuous,NA
CARRS1_Followup,height,missing,0,Continuous,NA
CARRS1_Followup,sbp,mean,124.93434712677292,Continuous,NA
CARRS1_Followup,sbp,sd,18.23024527854866,Continuous,NA
CARRS1_Followup,sbp,median,122,Continuous,NA
CARRS1_Followup,sbp,q25,112,Continuous,NA
CARRS1_Followup,sbp,q75,135,Continuous,NA
CARRS1_Followup,sbp,min,61,Continuous,NA
CARRS1_Followup,sbp,max,212,Continuous,NA
CARRS1_Followup,sbp,freq,6839,Continuous,NA
CARRS1_Followup,sbp,missing,31,Continuous,NA
CARRS1_Followup,dbp,mean,80.32007603450796,Continuous,NA
CARRS1_Followup,dbp,sd,11.631695369499253,Continuous,NA
CARRS1_Followup,dbp,median,80,Continuous,NA
CARRS1_Followup,dbp,q25,72,Continuous,NA
CARRS1_Followup,dbp,q75,87,Continuous,NA
CARRS1_Followup,dbp,min,37,Continuous,NA
CARRS1_Followup,dbp,max,136,Continuous,NA
CARRS1_Followup,dbp,freq,6839,Continuous,NA
CARRS1_Followup,dbp,missing,31,Continuous,NA
CARRS1_Followup,bmi,mean,26.59965111125705,Continuous,NA
CARRS1_Followup,bmi,sd,5.045724951729455,Continuous,NA
CARRS1_Followup,bmi,median,26.253619875019048,Continuous,NA
CARRS1_Followup,bmi,q25,23.147255121330193,Continuous,NA
CARRS1_Followup,bmi,q75,29.642496545860357,Continuous,NA
CARRS1_Followup,bmi,min,12.531010284945655,Continuous,NA
CARRS1_Followup,bmi,max,57.14699074074074,Continuous,NA
CARRS1_Followup,bmi,freq,6825,Continuous,NA
CARRS1_Followup,bmi,missing,45,Continuous,NA
CARRS1_Followup,age,mean,47.27234352256186,Continuous,NA
CARRS1_Followup,age,sd,12.329899232854276,Continuous,NA
CARRS1_Followup,age,median,46,Continuous,NA
CARRS1_Followup,age,q25,38,Continuous,NA
CARRS1_Followup,age,q75,55,Continuous,NA
CARRS1_Followup,age,min,23,Continuous,NA
CARRS1_Followup,age,max,99,Continuous,NA
CARRS1_Followup,age,freq,6870,Continuous,NA
CARRS1_Followup,age,missing,0,Continuous,NA
CARRS1_Followup,hba1c,mean,6.232068413391557,Continuous,NA
CARRS1_Followup,hba1c,sd,1.6245570124365663,Continuous,NA
CARRS1_Followup,hba1c,median,5.7,Continuous,NA
CARRS1_Followup,hba1c,q25,5.3,Continuous,NA
CARRS1_Followup,hba1c,q75,6.4,Continuous,NA
CARRS1_Followup,hba1c,min,2.8,Continuous,NA
CARRS1_Followup,hba1c,max,17.1,Continuous,NA
CARRS1_Followup,hba1c,freq,6870,Continuous,NA
CARRS1_Followup,hba1c,missing,0,Continuous,NA
CARRS1_Followup,eduyr,mean,8.826055312954876,Continuous,NA
CARRS1_Followup,eduyr,sd,4.816129063415804,Continuous,NA
CARRS1_Followup,eduyr,median,10,Continuous,NA
CARRS1_Followup,eduyr,q25,5,Continuous,NA
CARRS1_Followup,eduyr,q75,12,Continuous,NA
CARRS1_Followup,eduyr,min,0,Continuous,NA
CARRS1_Followup,eduyr,max,22,Continuous,NA
CARRS1_Followup,eduyr,freq,6870,Continuous,NA
CARRS1_Followup,eduyr,missing,0,Continuous,NA
CARRS1_Followup,fpg,mean,118.00806522055612,Continuous,NA
CARRS1_Followup,fpg,sd,51.978592645035974,Continuous,NA
CARRS1_Followup,fpg,median,100.2,Continuous,NA
CARRS1_Followup,fpg,q25,91.6,Continuous,NA
CARRS1_Followup,fpg,q75,118,Continuous,NA
CARRS1_Followup,fpg,min,44,Continuous,NA
CARRS1_Followup,fpg,max,574,Continuous,NA
CARRS1_Followup,fpg,freq,6869,Continuous,NA
CARRS1_Followup,fpg,missing,1,Continuous,NA
CARRS2_Baseline,waistcircumference,mean,87.74444484986998,Continuous,NA
CARRS2_Baseline,waistcircumference,sd,13.111852307305186,Continuous,NA
CARRS2_Baseline,waistcircumference,median,87.5999984741211,Continuous,NA
CARRS2_Baseline,waistcircumference,q25,79,Continuous,NA
CARRS2_Baseline,waistcircumference,q75,96,Continuous,NA
CARRS2_Baseline,waistcircumference,min,33.5,Continuous,NA
CARRS2_Baseline,waistcircumference,max,190.3999938964844,Continuous,NA
CARRS2_Baseline,waistcircumference,freq,8974,Continuous,NA
CARRS2_Baseline,waistcircumference,missing,13,Continuous,NA
CARRS2_Baseline,hipcircumference,mean,96.76871055320773,Continuous,NA
CARRS2_Baseline,hipcircumference,sd,10.991014699154526,Continuous,NA
CARRS2_Baseline,hipcircumference,median,96,Continuous,NA
CARRS2_Baseline,hipcircumference,q25,89.5,Continuous,NA
CARRS2_Baseline,hipcircumference,q75,103,Continuous,NA
CARRS2_Baseline,hipcircumference,min,49.29999923706055,Continuous,NA
CARRS2_Baseline,hipcircumference,max,193.10000610351565,Continuous,NA
CARRS2_Baseline,hipcircumference,freq,8974,Continuous,NA
CARRS2_Baseline,hipcircumference,missing,13,Continuous,NA
CARRS2_Baseline,weight,mean,65.26085067509463,Continuous,NA
CARRS2_Baseline,weight,sd,14.166492006261977,Continuous,NA
CARRS2_Baseline,weight,median,64.30000305175781,Continuous,NA
CARRS2_Baseline,weight,q25,55.599998474121094,Continuous,NA
CARRS2_Baseline,weight,q75,73.80000305175781,Continuous,NA
CARRS2_Baseline,weight,min,28.100000381469727,Continuous,NA
CARRS2_Baseline,weight,max,150.6999969482422,Continuous,NA
CARRS2_Baseline,weight,freq,8981,Continuous,NA
CARRS2_Baseline,weight,missing,6,Continuous,NA
CARRS2_Baseline,height,mean,158.42359192363145,Continuous,NA
CARRS2_Baseline,height,sd,9.26014496141578,Continuous,NA
CARRS2_Baseline,height,median,157.89999389648438,Continuous,NA
CARRS2_Baseline,height,q25,151.3000030517578,Continuous,NA
CARRS2_Baseline,height,q75,165.10000610351565,Continuous,NA
CARRS2_Baseline,height,min,130,Continuous,NA
CARRS2_Baseline,height,max,192.1999969482422,Continuous,NA
CARRS2_Baseline,height,freq,8987,Continuous,NA
CARRS2_Baseline,height,missing,0,Continuous,NA
CARRS2_Baseline,sbp,mean,124.34038997214485,Continuous,NA
CARRS2_Baseline,sbp,sd,19.672313048355782,Continuous,NA
CARRS2_Baseline,sbp,median,122,Continuous,NA
CARRS2_Baseline,sbp,q25,111,Continuous,NA
CARRS2_Baseline,sbp,q75,135,Continuous,NA
CARRS2_Baseline,sbp,min,71,Continuous,NA
CARRS2_Baseline,sbp,max,230,Continuous,NA
CARRS2_Baseline,sbp,freq,8975,Continuous,NA
CARRS2_Baseline,sbp,missing,12,Continuous,NA
CARRS2_Baseline,dbp,mean,80.22529247910863,Continuous,NA
CARRS2_Baseline,dbp,sd,11.871537985989923,Continuous,NA
CARRS2_Baseline,dbp,median,80,Continuous,NA
CARRS2_Baseline,dbp,q25,72,Continuous,NA
CARRS2_Baseline,dbp,q75,87,Continuous,NA
CARRS2_Baseline,dbp,min,30,Continuous,NA
CARRS2_Baseline,dbp,max,146,Continuous,NA
CARRS2_Baseline,dbp,freq,8975,Continuous,NA
CARRS2_Baseline,dbp,missing,12,Continuous,NA
CARRS2_Baseline,bmi,mean,25.989815972488888,Continuous,NA
CARRS2_Baseline,bmi,sd,5.1635376829960435,Continuous,NA
CARRS2_Baseline,bmi,median,25.63469500890846,Continuous,NA
CARRS2_Baseline,bmi,q25,22.441872825183694,Continuous,NA
CARRS2_Baseline,bmi,q75,28.965931502364132,Continuous,NA
CARRS2_Baseline,bmi,min,12.811387667305306,Continuous,NA
CARRS2_Baseline,bmi,max,56.164613319380244,Continuous,NA
CARRS2_Baseline,bmi,freq,8981,Continuous,NA
CARRS2_Baseline,bmi,missing,6,Continuous,NA
CARRS2_Baseline,age,mean,44.29464782463558,Continuous,NA
CARRS2_Baseline,age,sd,13.351293616632104,Continuous,NA
CARRS2_Baseline,age,median,43,Continuous,NA
CARRS2_Baseline,age,q25,34,Continuous,NA
CARRS2_Baseline,age,q75,53,Continuous,NA
CARRS2_Baseline,age,min,20,Continuous,NA
CARRS2_Baseline,age,max,89,Continuous,NA
CARRS2_Baseline,age,freq,8987,Continuous,NA
CARRS2_Baseline,age,missing,0,Continuous,NA
CARRS2_Baseline,hba1c,mean,6.096350283743185,Continuous,NA
CARRS2_Baseline,hba1c,sd,1.5011243018959404,Continuous,NA
CARRS2_Baseline,hba1c,median,5.6,Continuous,NA
CARRS2_Baseline,hba1c,q25,5.3,Continuous,NA
CARRS2_Baseline,hba1c,q75,6.2,Continuous,NA
CARRS2_Baseline,hba1c,min,3.3,Continuous,NA
CARRS2_Baseline,hba1c,max,16.6,Continuous,NA
CARRS2_Baseline,hba1c,freq,8987,Continuous,NA
CARRS2_Baseline,hba1c,missing,0,Continuous,NA
CARRS2_Baseline,eduyr,mean,8.807367015357222,Continuous,NA
CARRS2_Baseline,eduyr,sd,4.959238999364672,Continuous,NA
CARRS2_Baseline,eduyr,median,10,Continuous,NA
CARRS2_Baseline,eduyr,q25,5,Continuous,NA
CARRS2_Baseline,eduyr,q75,12,Continuous,NA
CARRS2_Baseline,eduyr,min,0,Continuous,NA
CARRS2_Baseline,eduyr,max,24,Continuous,NA
CARRS2_Baseline,eduyr,freq,8986,Continuous,NA
CARRS2_Baseline,eduyr,missing,1,Continuous,NA
CARRS2_Baseline,fpg,mean,111.76804272838545,Continuous,NA
CARRS2_Baseline,fpg,sd,46.308294404279074,Continuous,NA
CARRS2_Baseline,fpg,median,97.2,Continuous,NA
CARRS2_Baseline,fpg,q25,90,Continuous,NA
CARRS2_Baseline,fpg,q75,109.8,Continuous,NA
CARRS2_Baseline,fpg,min,49.8,Continuous,NA
CARRS2_Baseline,fpg,max,759.9,Continuous,NA
CARRS2_Baseline,fpg,freq,8987,Continuous,NA
CARRS2_Baseline,fpg,missing,0,Continuous,NA
CARRS1_Baseline,history_htn,proportion,14.374740340673037,Proportion,NA
CARRS1_Baseline,history_htn,freq,9628,Proportion,NA
CARRS1_Baseline,history_htn,missing,0,Proportion,NA
CARRS1_Baseline,history_dm,proportion,12.899875363523059,Proportion,NA
CARRS1_Baseline,history_dm,freq,9628,Proportion,NA
CARRS1_Baseline,history_dm,missing,0,Proportion,NA
CARRS1_Baseline,medication_bp,proportion,12.037806398005817,Proportion,NA
CARRS1_Baseline,medication_bp,freq,9628,Proportion,NA
CARRS1_Baseline,medication_bp,missing,0,Proportion,NA
CARRS1_Baseline,medication_dm,proportion,11.560033236393853,Proportion,NA
CARRS1_Baseline,medication_dm,freq,9628,Proportion,NA
CARRS1_Baseline,medication_dm,missing,0,Proportion,NA
CARRS1_Baseline,smokecurr,proportion,91.00185528756958,Proportion,NA
CARRS1_Baseline,smokecurr,freq,2156,Proportion,NA
CARRS1_Baseline,smokecurr,missing,7472,Proportion,NA
CARRS1_Baseline,alcohol,proportion,17.615288741171582,Proportion,NA
CARRS1_Baseline,alcohol,freq,9628,Proportion,NA
CARRS1_Baseline,alcohol,missing,0,Proportion,NA
CARRS1_Baseline,married,proportion,90.22642293311176,Proportion,NA
CARRS1_Baseline,married,freq,9628,Proportion,NA
CARRS1_Baseline,married,missing,0,Proportion,NA
CARRS1_Baseline,kitchen,proportion,79.90028046120287,Proportion,NA
CARRS1_Baseline,kitchen,freq,9627,Proportion,NA
CARRS1_Baseline,kitchen,missing,1,Proportion,NA
CARRS1_Baseline,fuel,proportion,192.71839617741767,Proportion,NA
CARRS1_Baseline,fuel,freq,9627,Proportion,NA
CARRS1_Baseline,fuel,missing,1,Proportion,NA
CARRS1_Baseline,water,proportion,240.23060143346834,Proportion,NA
CARRS1_Baseline,water,freq,9627,Proportion,NA
CARRS1_Baseline,water,missing,1,Proportion,NA
CARRS1_Baseline,toilet,proportion,269.6686402825387,Proportion,NA
CARRS1_Baseline,toilet,freq,9627,Proportion,NA
CARRS1_Baseline,toilet,missing,1,Proportion,NA
CARRS1_Baseline,tv,proportion,97.76669782902255,Proportion,NA
CARRS1_Baseline,tv,freq,9627,Proportion,NA
CARRS1_Baseline,tv,missing,1,Proportion,NA
CARRS1_Baseline,fridge,proportion,65.53443440324088,Proportion,NA
CARRS1_Baseline,fridge,freq,9627,Proportion,NA
CARRS1_Baseline,fridge,missing,1,Proportion,NA
CARRS1_Baseline,wmachine,proportion,47.0655448218552,Proportion,NA
CARRS1_Baseline,wmachine,freq,9627,Proportion,NA
CARRS1_Baseline,wmachine,missing,1,Proportion,NA
CARRS1_Baseline,mobile,proportion,94.32845123091306,Proportion,NA
CARRS1_Baseline,mobile,freq,9627,Proportion,NA
CARRS1_Baseline,mobile,missing,1,Proportion,NA
CARRS1_Baseline,computer,proportion,23.87036459956373,Proportion,NA
CARRS1_Baseline,computer,freq,9627,Proportion,NA
CARRS1_Baseline,computer,missing,1,Proportion,NA
CARRS1_Baseline,car,proportion,14.864443751947649,Proportion,NA
CARRS1_Baseline,car,freq,9627,Proportion,NA
CARRS1_Baseline,car,missing,1,Proportion,NA
CARRS1_Baseline,scooter,proportion,49.39233406045497,Proportion,NA
CARRS1_Baseline,scooter,freq,9627,Proportion,NA
CARRS1_Baseline,scooter,missing,1,Proportion,NA
CARRS1_Baseline,bicycle,proportion,35.99252103459021,Proportion,NA
CARRS1_Baseline,bicycle,freq,9627,Proportion,NA
CARRS1_Baseline,bicycle,missing,1,Proportion,NA
CARRS1_Followup,history_htn,proportion,26.637554585152838,Proportion,NA
CARRS1_Followup,history_htn,freq,6870,Proportion,NA
CARRS1_Followup,history_htn,missing,0,Proportion,NA
CARRS1_Followup,history_dm,proportion,23.9155749636099,Proportion,NA
CARRS1_Followup,history_dm,freq,6870,Proportion,NA
CARRS1_Followup,history_dm,missing,0,Proportion,NA
CARRS1_Followup,medication_bp,proportion,19.03930131004367,Proportion,NA
CARRS1_Followup,medication_bp,freq,6870,Proportion,NA
CARRS1_Followup,medication_bp,missing,0,Proportion,NA
CARRS1_Followup,medication_dm,proportion,18.748180494905387,Proportion,NA
CARRS1_Followup,medication_dm,freq,6870,Proportion,NA
CARRS1_Followup,medication_dm,missing,0,Proportion,NA
CARRS1_Followup,smokecurr,proportion,18.5616538069588,Proportion,NA
CARRS1_Followup,smokecurr,freq,6869,Proportion,NA
CARRS1_Followup,smokecurr,missing,1,Proportion,NA
CARRS1_Followup,alcohol,proportion,18.69812145041503,Proportion,NA
CARRS1_Followup,alcohol,freq,6867,Proportion,NA
CARRS1_Followup,alcohol,missing,3,Proportion,NA
CARRS1_Followup,married,proportion,89.08296943231441,Proportion,NA
CARRS1_Followup,married,freq,6870,Proportion,NA
CARRS1_Followup,married,missing,0,Proportion,NA
CARRS1_Followup,kitchen,proportion,82.66123162032319,Proportion,NA
CARRS1_Followup,kitchen,freq,6869,Proportion,NA
CARRS1_Followup,kitchen,missing,1,Proportion,NA
CARRS1_Followup,fuel,proportion,198.71888193332364,Proportion,NA
CARRS1_Followup,fuel,freq,6869,Proportion,NA
CARRS1_Followup,fuel,missing,1,Proportion,NA
CARRS1_Followup,water,proportion,332.8432086184306,Proportion,NA
CARRS1_Followup,water,freq,6869,Proportion,NA
CARRS1_Followup,water,missing,1,Proportion,NA
CARRS1_Followup,toilet,proportion,281.78774202940747,Proportion,NA
CARRS1_Followup,toilet,freq,6869,Proportion,NA
CARRS1_Followup,toilet,missing,1,Proportion,NA
CARRS1_Followup,tv,proportion,98.98078043098427,Proportion,NA
CARRS1_Followup,tv,freq,6868,Proportion,NA
CARRS1_Followup,tv,missing,2,Proportion,NA
CARRS1_Followup,fridge,proportion,83.82352941176471,Proportion,NA
CARRS1_Followup,fridge,freq,6868,Proportion,NA
CARRS1_Followup,fridge,missing,2,Proportion,NA
CARRS1_Followup,wmachine,proportion,67.13744903902155,Proportion,NA
CARRS1_Followup,wmachine,freq,6868,Proportion,NA
CARRS1_Followup,wmachine,missing,2,Proportion,NA
CARRS1_Followup,mobile,proportion,97.74315666860804,Proportion,NA
CARRS1_Followup,mobile,freq,6868,Proportion,NA
CARRS1_Followup,mobile,missing,2,Proportion,NA
CARRS1_Followup,computer,proportion,33.05183459522423,Proportion,NA
CARRS1_Followup,computer,freq,6868,Proportion,NA
CARRS1_Followup,computer,missing,2,Proportion,NA
CARRS1_Followup,car,proportion,17.399534071054166,Proportion,NA
CARRS1_Followup,car,freq,6868,Proportion,NA
CARRS1_Followup,car,missing,2,Proportion,NA
CARRS1_Followup,scooter,proportion,64.06523005241701,Proportion,NA
CARRS1_Followup,scooter,freq,6868,Proportion,NA
CARRS1_Followup,scooter,missing,2,Proportion,NA
CARRS1_Followup,bicycle,proportion,21.476412347117062,Proportion,NA
CARRS1_Followup,bicycle,freq,6868,Proportion,NA
CARRS1_Followup,bicycle,missing,2,Proportion,NA
CARRS2_Baseline,history_htn,proportion,17.514187159229998,Proportion,NA
CARRS2_Baseline,history_htn,freq,8987,Proportion,NA
CARRS2_Baseline,history_htn,missing,0,Proportion,NA
CARRS2_Baseline,history_dm,proportion,16.445977523088906,Proportion,NA
CARRS2_Baseline,history_dm,freq,8987,Proportion,NA
CARRS2_Baseline,history_dm,missing,0,Proportion,NA
CARRS2_Baseline,medication_bp,proportion,14.74351841548904,Proportion,NA
CARRS2_Baseline,medication_bp,freq,8987,Proportion,NA
CARRS2_Baseline,medication_bp,missing,0,Proportion,NA
CARRS2_Baseline,medication_dm,proportion,13.664181595638144,Proportion,NA
CARRS2_Baseline,medication_dm,freq,8987,Proportion,NA
CARRS2_Baseline,medication_dm,missing,0,Proportion,NA
CARRS2_Baseline,smokecurr,proportion,84.48357924797716,Proportion,NA
CARRS2_Baseline,smokecurr,freq,2101,Proportion,NA
CARRS2_Baseline,smokecurr,missing,6886,Proportion,NA
CARRS2_Baseline,alcohol,proportion,18.9718482252142,Proportion,NA
CARRS2_Baseline,alcohol,freq,8987,Proportion,NA
CARRS2_Baseline,alcohol,missing,0,Proportion,NA
CARRS2_Baseline,married,proportion,86.93668632469122,Proportion,NA
CARRS2_Baseline,married,freq,8987,Proportion,NA
CARRS2_Baseline,married,missing,0,Proportion,NA
CARRS2_Baseline,kitchen,proportion,80.11572271058195,Proportion,NA
CARRS2_Baseline,kitchen,freq,8987,Proportion,NA
CARRS2_Baseline,kitchen,missing,0,Proportion,NA
CARRS2_Baseline,fuel,proportion,196.88438856125515,Proportion,NA
CARRS2_Baseline,fuel,freq,8987,Proportion,NA
CARRS2_Baseline,fuel,missing,0,Proportion,NA
CARRS2_Baseline,water,proportion,284.3106709691777,Proportion,NA
CARRS2_Baseline,water,freq,8987,Proportion,NA
CARRS2_Baseline,water,missing,0,Proportion,NA
CARRS2_Baseline,toilet,proportion,268.99621633652345,Proportion,NA
CARRS2_Baseline,toilet,freq,8986,Proportion,NA
CARRS2_Baseline,toilet,missing,1,Proportion,NA
CARRS2_Baseline,tv,proportion,96.67297207076889,Proportion,NA
CARRS2_Baseline,tv,freq,8987,Proportion,NA
CARRS2_Baseline,tv,missing,0,Proportion,NA
CARRS2_Baseline,fridge,proportion,75.37554245020586,Proportion,NA
CARRS2_Baseline,fridge,freq,8987,Proportion,NA
CARRS2_Baseline,fridge,missing,0,Proportion,NA
CARRS2_Baseline,wmachine,proportion,58.85167464114832,Proportion,NA
CARRS2_Baseline,wmachine,freq,8987,Proportion,NA
CARRS2_Baseline,wmachine,missing,0,Proportion,NA
CARRS2_Baseline,mobile,proportion,98.1528875041727,Proportion,NA
CARRS2_Baseline,mobile,freq,8987,Proportion,NA
CARRS2_Baseline,mobile,missing,0,Proportion,NA
CARRS2_Baseline,computer,proportion,31.211750305997555,Proportion,NA
CARRS2_Baseline,computer,freq,8987,Proportion,NA
CARRS2_Baseline,computer,missing,0,Proportion,NA
CARRS2_Baseline,car,proportion,16.49048625792812,Proportion,NA
CARRS2_Baseline,car,freq,8987,Proportion,NA
